population,t,p,n,precision,recall,F1,Time(sec),AUPRC
0,8,65,2000,0.06956521739130435,0.9056603773584906,0.12920592193808883,3.3943505315110087,0.31605478615867705
1,8,65,2000,0.06302521008403361,0.8823529411764706,0.11764705882352941,6.32526933029294,0.2037776437383215
2,8,65,2000,0.05325443786982249,0.9230769230769231,0.10069930069930069,9.312357623130083,0.3107367177445218
3,8,65,2000,0.06571428571428571,0.7796610169491526,0.1212121212121212,12.270306680351496,0.14660206236339884
4,8,65,2000,0.07681940700808626,0.7916666666666666,0.14004914004914007,15.245275114662945,0.09823454791630129
5,8,65,2000,0.059506531204644414,0.8541666666666666,0.11126187245590231,18.156287007965147,0.279164503954971
6,8,65,2000,0.06151645207439199,0.8958333333333334,0.11512717536813924,21.0404145848006,0.23294523394001374
7,8,65,2000,0.06047819971870605,0.8958333333333334,0.11330698287220027,24.059349462389946,0.22636848643083765
0,8,65,2000,0.06353591160220995,0.8679245283018868,0.11840411840411841,3.6443099565804005,0.3502419093924424
1,8,65,2000,0.06488011283497884,0.9019607843137255,0.12105263157894737,6.428844799287617,0.2282703845259094
2,8,65,2000,0.05154639175257732,0.8974358974358975,0.09749303621169916,9.13173960428685,0.2814039692878938
3,8,65,2000,0.0676056338028169,0.8135593220338984,0.1248374512353706,11.973236207850277,0.1510580190334641
4,8,65,2000,0.081267217630854,0.8194444444444444,0.14786967418546368,14.742012981325388,0.10955972771472512
5,8,65,2000,0.05991440798858773,0.875,0.11214953271028037,17.457037235610187,0.36942382698786436
6,8,65,2000,0.0625,0.9166666666666666,0.11702127659574468,20.14186286740005,0.31786063845443824
7,8,65,2000,0.0647887323943662,0.9583333333333334,0.12137203166226912,22.822104682214558,0.20394477008851059
GLOBAL,8,65,2000,0.06463005474130319,0.8755980861244019,0.12037493833251109,22.822104682214558,0.23422689196767305
