rand_seed,t,p,n,nu_0,mu,gamma,bic value,precision,recall,F1,Time(min),seed,n_by_p
1994.0,3.0,250.0,5000.0,0.0005,0.001,1.0,3698694.427591461,0.9055404178019982,0.9240037071362373,0.9146788990825688,0.1667066824670958,1994.0,3.0
1994.0,5.0,250.0,5000.0,0.0005,0.001,1.0,6160460.16891603,0.8748645720476707,0.8873626373626373,0.8810692853246045,0.2529399499607583,1994.0,5.0
1994.0,10.0,250.0,5000.0,0.0005,0.001,1.0,12334185.712634323,0.8845733041575492,0.8840896664844177,0.8843314191960624,0.5387555657497918,1994.0,10.0
1994.0,20.0,250.0,5000.0,0.0005,0.001,1.0,24721763.57100077,0.854031938762043,0.8837749248839115,0.8686489026109134,1.043531107219557,1994.0,20.0
1994.0,50.0,250.0,5000.0,0.0005,0.001,1.0,61562592.23763591,0.9342174140638632,0.8758383772288565,0.9040864572779466,2.772330711471538,1994.0,50.0
1994.0,100.0,250.0,5000.0,0.0005,0.001,1.0,123355440.28848808,0.94400826446281,0.8714951361072509,0.9063035747176924,5.926709327008576,1994.0,100.0
1995.0,3.0,250.0,5000.0,0.0005,0.001,1.0,3699420.471448918,0.9116022099447514,0.9209302325581395,0.9162424803331792,0.1667220581012467,1995.0,3.0
1995.0,5.0,250.0,5000.0,0.0005,0.001,1.0,6163522.945040154,0.8768312533912099,0.8898678414096917,0.8833014484831921,0.2508426762806872,1995.0,5.0
1995.0,10.0,250.0,5000.0,0.0005,0.001,1.0,12347176.610074414,0.8793901442962156,0.8825136612021858,0.8809491340515477,0.5270062639378011,1995.0,10.0
1995.0,20.0,250.0,5000.0,0.0005,0.001,1.0,24732846.81404991,0.858955717118308,0.8877049180327868,0.8730937185085658,1.0195038456780214,1995.0,20.0
1995.0,50.0,250.0,5000.0,0.0005,0.001,1.0,61585259.1200764,0.9346800954765092,0.8757431953308242,0.9042523232892145,2.908371451931695,1995.0,50.0
1995.0,100.0,250.0,5000.0,0.0005,0.001,1.0,123408177.3142388,0.9454819901145411,0.8705071259231,0.9064468531865388,5.867162358170996,1995.0,100.0
1996.0,3.0,250.0,5000.0,0.0005,0.001,1.0,3698672.33929413,0.9229340761374188,0.9229340761374188,0.9229340761374188,0.1649472342183192,1996.0,3.0
1996.0,5.0,250.0,5000.0,0.0005,0.001,1.0,6157318.228799908,0.8762942779291553,0.8854625550660793,0.8808545603944123,0.2601845902701219,1996.0,5.0
1996.0,10.0,250.0,5000.0,0.0005,0.001,1.0,12332787.319494797,0.8853852481491638,0.8841730558598029,0.8847787368132621,0.5377581877633929,1996.0,10.0
1996.0,20.0,250.0,5000.0,0.0005,0.001,1.0,24725543.630635515,0.8571994192952356,0.886810486073184,0.8717535735856654,1.0390504254649082,1996.0,20.0
1996.0,50.0,250.0,5000.0,0.0005,0.001,1.0,61573977.86084313,0.9333294683749782,0.8781432389679812,0.9048957337979876,2.8756150810047982,1996.0,50.0
1996.0,100.0,250.0,5000.0,0.0005,0.001,1.0,123384013.92928074,0.9445691998581728,0.8708965592393821,0.9062380405663988,6.012855035050112,1996.0,100.0
1997.0,3.0,250.0,5000.0,0.0005,0.001,1.0,3704492.118130624,0.911070780399274,0.9322191272051996,0.921523634694814,0.1650199917765955,1997.0,3.0
1997.0,5.0,250.0,5000.0,0.0005,0.001,1.0,6166883.925808726,0.8757460661964189,0.8882773802971932,0.881967213114754,0.265720388914148,1997.0,5.0
1997.0,10.0,250.0,5000.0,0.0005,0.001,1.0,12346245.479957648,0.8842997811816192,0.8833333333333333,0.8838162930563149,0.555089530069381,1997.0,10.0
1997.0,20.0,250.0,5000.0,0.0005,0.001,1.0,24742483.40290342,0.853542683731363,0.8835017754711827,0.8682638749077243,1.052372412631909,1997.0,20.0
1997.0,50.0,250.0,5000.0,0.0005,0.001,1.0,61584676.31498787,0.9308532147189648,0.8789134940547616,0.9041380277738812,2.8159036967282494,1997.0,50.0
1997.0,100.0,250.0,5000.0,0.0005,0.001,1.0,123403099.60945444,0.9445510643951696,0.871903191518356,0.9067743764172336,6.124714020900138,1997.0,100.0
1998.0,3.0,250.0,5000.0,0.0005,0.001,1.0,3703367.6586117726,0.913919413919414,0.9292364990689012,0.9215143120960296,0.1677665945452948,1998.0,3.0
1998.0,5.0,250.0,5000.0,0.0005,0.001,1.0,6164596.124596705,0.8788701792504073,0.8894997251236944,0.8841530054644808,0.2512556753431757,1998.0,5.0
1998.0,10.0,250.0,5000.0,0.0005,0.001,1.0,12345292.297289245,0.880971880971881,0.8831417624521073,0.8820554872215388,0.5637885132183631,1998.0,10.0
1998.0,20.0,250.0,5000.0,0.0005,0.001,1.0,24737630.593394976,0.8570674409396859,0.887643521049754,0.8720875579131135,1.0710874437354505,1998.0,20.0
1998.0,50.0,250.0,5000.0,0.0005,0.001,1.0,61557333.15531138,0.9351787372330548,0.8788242351529694,0.906126121060474,2.871958594499544,1998.0,50.0
1998.0,100.0,250.0,5000.0,0.0005,0.001,1.0,123351822.78600287,0.9451399551198773,0.8721595553375838,0.9071843559586228,5.925498657666807,1998.0,100.0
